Location name,Amount spent (COP)
Amazonas,2436
Antioquia,5040305
Arauca,34830
Atlantico,522344
Bolivar,271673
Boyaca,331244
Caldas,202051
Caqueta,66364
Casanare,76074
Cauca,187370
Cesar,101105
Choco,26949
Cordoba,136561
Cundinamarca,448987
Distrito Especial,1915740
Guainia,982
Guaviare,9008
Huila,155103
La Guajira,65921
Magdalena,220568
Meta,365465
Narino,117756
Norte de Santander,213720
Putumayo,147793
Quindio,153991
Risaralda,1099005
San Andres y Providencia,7360
Santander,362199
Sucre,70374
Tolima,164969
Unknown,828
Valle del Cauca,2349780
Vaupes,595
Vichada,1509
