Location name,Amount spent (PKR)
Azad Kashmir,1321
Balochistan,2498
Federally Administered Tribal Areas,448
Gilgit-Baltistan,718
Islamabad Capital Territory,9733
Khyber Pakhtunkhwa,13834
Punjab,58433
Sindh,19134
Unknown,≤100
