Location name,Amount spent (USD)
Azuay Province,4602
Bolívar Province,258
Carchi Province,296
Cañar Province,997
Chimborazo Province,1520
Cotopaxi Province,1201
El Oro Province,4644
Esmeraldas Province,1389
Galápagos Province,205
Guayas Province,14055
Imbabura Province,1562
Loja Province,1250
Los Ríos Province,3572
Manabí Province,5548
Morona-Santiago Province,358
Napo Province,205
Orellana Province,430
Pastaza Province,343
Pichincha Province,7449
Santa Elena Province,1494
Santo Domingo de los Tsáchilas Province,2734
Sucumbíos Province,832
Tungurahua Province,1254
Unknown,≤100
Zamora-Chinchipe Province,252
