Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,2702,33
219091481560790,מרים פיירברג - איכר,נתניה אחת,2369,2
109523830757998,דמוקרטtv,דרכנו,1557,1
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,1392,4
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1325,55
137449656335533,Amnesty International Israel,Amnesty International Israel,1315,3
110125925176216,יוזמת המאה - The 100 Initiative,יוזמת המאה,1241,3
1073548259341247,לובי 99,לובי 99,1194,10
500238833397356,ציפי ברנד,ציפי ברנד,1107,10
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1073,16
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,1042,5
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,924,5
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,916,4
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,899,10
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,836,5
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,816,8
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,756,11
109242871232111,מתן בארי,מתן בארי,719,2
204780362875106,מקור ראשון,מקור ראשון,693,40
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,691,4
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,680,2
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,657,7
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,654,31
110218465442225,אורן חזן - ראש עיר חזק לאריאל,אורן חזן,605,1
219236568818575,גלית שאול - ראשת מועצת עמק חפר,גלית שאול - ראשת מועצת עמק חפר,604,6
113257552029689,Israel Police - משטרת ישראל,Israel Police,596,1
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,591,2
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,582,2
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,572,7
112779795076593,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,535,8
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,526,2
104040559429062,טליה לנקרי לראשות מועצת גדרה,טליה לנקרי לראשות גדרה,523,2
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,523,5
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,519,12
114201461733889,"מיכאל וידל- ראש עיירית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,518,1
615531405455497,הדר לביא,הדר לביא,508,8
108212852272431,ג'קי יעקב צבי,יעקב ג'קי צבי לראשות המועצה,502,4
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,479,32
115456451553737,יונה יהב,יונה יהב,473,5
248660961864475,שחרית | سحرية | Shaharit,שחרית | سحرية | Shaharit,471,4
124191360932729,התעוררות בירושלים,התעוררות בירושלים,467,12
124894077550811,ישראל חופשית,ישראל חופשית,458,1
105907482438233,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,443,4
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,442,16
207175656718749,אביהו האן לראשות עיריית חיפה,אביהו האן לראשות עיריית חיפה,422,2
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,375,3
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,371,2
119840381061499,אוהד שגב,אוהד שגב,368,1
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,347,3
117177111377152,Шломи Лахьяни,שלומי לחיאני,333,1
103476062195166,Матан Диль,Матан Диль,331,2
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,331,3
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',310,3
104823549316428,Барак Сери,Barak Seri,306,4
115411601520704,מיכל עוזיהו לראשות המועצה האזורית  אשכול,מיכל פלג עוזיהו,301,6
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",300,11
