Location name,Amount spent (CAD)
Alberta,19783
British Columbia,18372
Manitoba,2883
New Brunswick,2510
Newfoundland and Labrador,1015
Northwest Territories,114
Nova Scotia,2754
Nunavut,109
Ontario,43016
Prince Edward Island,364
Quebec,27541
Saskatchewan,3224
Unknown,≤100
Yukon,210
