Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,189
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,553
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,≤100
La Libertad Region,140
Lambayeque Region,≤100
Lima Region,1633
Loreto Region,176
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,146
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
