Location name,Amount spent (CZK)
Central Bohemian Region,10053
Hradec Králové Region,4549
Karlovy Vary Region,2728
Liberec Region,3845
Moravian-Silesian Region,11480
Olomouc Region,4625
Pardubice Region,4046
Plzeň Region,4732
Prague,23019
South Bohemian Region,6245
South Moravian Region,11211
Unknown,≤100
Vysočina Region,3620
Zlín Region,4229
Ústí nad Labem Region,6589
