Location name,Amount spent (GTQ)
Alta Verapaz Department,1266
Baja Verapaz Department,447
Chimaltenango Department,969
Chiquimula Department,689
El Progreso Department,313
Escuintla Department,2632
Guatemala Department,20829
Huehuetenango Department,1650
Izabal Department,1133
Jalapa Department,477
Jutiapa Department,732
Petén Department,735
Quetzaltenango Department,2231
Quiché Department,1187
Retalhuleu Department,578
Sacatepéquez Department,889
San Marcos Department,3519
Santa Rosa Department,584
Sololá Department,688
Suchitepéquez Department,814
Totonicapán Department,646
Unknown,≤100
Zacapa Department,441
