Location name,Amount spent (MYR)
Johor,1672
Kedah,696
Kelantan,568
Kuala Lumpur,1134
Labuan,≤100
Malacca,260
Negeri Sembilan,335
Pahang,541
Penang,379
Perak,643
Perlis,≤100
Putrajaya,≤100
Sabah,901
Sarawak,906
Selangor,1770
Terengganu,565
Unknown,≤100
