Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,7700,145
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",2763,4
10113538711,WWF-Australia,WWF-Australia,1857,29
514475628623089,Our Watch,Our Watch,1504,3
101589645013040,Thrive by Five,Thrive By Five,1258,12
710266392358023,Future Super,Future Super,1235,31
13527056454,GetUp!,GetUp!,1157,16
92824008332,Plan International Australia,Plan International Australia,1146,31
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",1139,6
101791315693,Destiny Rescue,Destiny Rescue,1051,25
107113675572590,Dirty Dozen,Solutions for Australia,1022,24
447447719391089,Health Care Providers Association,Health Care Providers Association,961,10
1776727752614025,Glencore,Glencore Australia,944,2
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,942,26
290994417624733,ALDI Australia,These ads ran without a disclaimer,937,1
177072498997234,NSW Electoral Commission,NSW Electoral Commission,925,22
182564410468,Australia for UNHCR,Australia for UNHCR,920,101
117241141903,Barnardos Australia,Barnardos Australia,812,23
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,804,11
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,763,34
219798558043441,Humpty Dumpty Foundation,Humpty Dumpty Foundation,761,6
89794331215,Oxfam,Oxfam Australia,672,125
373523642668552,Energy - Queensland,Department of Energy and Public Works,654,49
126755754702938,Respect Victoria,Respect Victoria,604,10
129819533748295,Andrew Leigh MP,Andrew Leigh MP,548,4
149648047339,Save the Children Australia,Save the Children Australia,509,25
102329728050606,From the Heart,Cape York Institute,488,10
352953834815624,Jason Wood MP,Jason Wood MP,482,6
192170157560135,UNSW Engineering,UNSW Sydney,451,2
8422338499,The Wilderness Society,The Wilderness Society,441,115
1943258269309425,Equality Australia,Equality Australia,437,10
308746806571901,Advance Australia,Advance Australia,412,46
299753643444311,AEC,Australian Electoral Commission,390,25
494820897261439,Bank Australia,Bank Australia,371,37
49453745631,Amnesty International Australia,Amnesty International Australia,363,8
231952773568442,Berry Street,Berry Street,356,15
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,347,26
345960425540557,The Climate Council,The Climate Council,336,91
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,325,10
10852627380,World Animal Protection Australia,World Animal Protection Australia,309,5
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,289,8
119570884780306,Katy Gallagher,Katy Gallagher,272,4
59024478936,Monash University,Monash University,267,18
231341250224498,Australian Ethical Investment,Australian Ethical Investment,252,137
504855933190931,Time for Change - Change Aged Care,United Workers Union,251,62
159487260807787,Tindo Solar,Tindo Solar,244,2
1989373424630784,Bridging the Gap Foundation,Bridging the Gap Foundation,237,17
694832627392516,Prime Super,Prime Super,234,151
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,232,4
11775531229,The Chaser,The Chaser,226,4
200819325600,ActionAid Australia,ActionAid Australia,221,20
106802658458781,Vape and Vote,Legalise Vaping Australia,217,3
581606621934473,International Justice Mission,IJM Australia with Facebook ad credits,216,4
7783116506,Animals Asia,These ads ran without a disclaimer,203,5
157812980921536,Environmental Defenders Office,Environmental Defenders Office,200,57
329777267205680,ACT Government,ACT Government,198,17
103653191525,Ben & Jerry's,Ben & Jerry's,193,3
356113427813761,Kevin Hogan MP,Kevin Hogan MP,191,10
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),191,10
208483319188390,Queensland Unions,Queensland Unions,185,3
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,179,5
100317645636097,UniSuper,UniSuper,177,7
113606643816829,Round Theory Wines,Round Theory Wines,173,4
105084998845350,BPH Energy,BPH ENERGY LTD,171,45
104910384328602,Binge,Streamotion Pty Ltd,166,3
1090309537707529,National Justice Project,National Justice Project,162,40
272757739102,Engineers Australia,Engineers Australia,157,8
316480331783930,Australian Unions,Australian Unions,153,43
157481181070130,Indigenous Employment Australia,Access,151,65
21591025194,The University of Melbourne,The University of Melbourne,147,5
145347352187764,UN Women Australia,UN Women Australia,144,20
161854162881,Greenfleet,Greenfleet,141,23
1300759363397798,Terry Young MP,Terry Young MP,133,2
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,131,8
100356216050100,Family First Party Australia,Family First Party Australia Ltd,126,2
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,123,14
214559598616472,Canberra Liberals,the Canberra Liberals,122,4
479849235417300,The Shot,The Chaser,118,2
367759967036315,Dr David Honey MLA,Dr David Honey MLA,112,4
655173787829512,National Zakat Foundation Australia,NATIONAL ZAKAT FOUNDATION INCORPORATED,101,134
274079142634253,National Tertiary Education Union - NTEU,National Tertiary Education Union,101,2
111577958275695,Better BeCause,Better BeCause,≤100,17
172774889455415,Catholic Mission,Catholic Mission,≤100,2
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,27
8013404017,Crikey,Private Media,≤100,2
22936848857,Institute of Public Affairs,Institute of Public Affairs,≤100,2
280130718768016,Public Service Association of NSW,Public Service Association of NSW,≤100,1
1660905180833979,Parliament of Victoria,Parliament of Victoria,≤100,5
