Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Heimildin,Stundin,32253,3
152804904889,Samfylkingin,Samfylkingin,8272,9
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,5886,54
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,3539,1
573559522797177,Flokkur fólksins,Flokkur Fólksins,3183,3
405625165041,Reykjavíkurborg,Reykjavíkurborg,2959,3
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2767,2
156161194561570,Kjarninn,Kjarninn,2250,1
154893001218870,ADHD samtökin,ADHD samtökin,2051,6
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,1909,1
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,1733,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1340,2
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,1042,1
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,996,1
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,680,1
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,525,1
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,471,1
116885691311231,Globаl News,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
103934207741083,Selena Ryan,These ads ran without a disclaimer,≤100,1
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
109634780453506,Lauren.K Photography,These ads ran without a disclaimer,≤100,1
106649554035261,Caio_Vitor07,These ads ran without a disclaimer,≤100,1
