Location name,Amount spent (AUD)
Australian Capital Territory,3377
Jervis Bay Territory,≤100
New South Wales,24398
Norfolk Island,≤100
Northern Territory,746
Queensland,18173
South Australia,6189
Tasmania,2799
Unknown,≤100
Victoria,26581
Western Australia,10338
