Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,≤100
Berane Municipality,≤100
Bijelo Polje Municipality,≤100
Budva Municipality,≤100
Danilovgrad Municipality,≤100
Herceg Novi Municipality,≤100
Kolašin Municipality,≤100
Nikšić Municipality,≤100
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,≤100
Plužine Municipality,≤100
Podgorica Capital City,190
Rožaje Municipality,≤100
Tivat Municipality,≤100
Ulcinj Municipality,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
