Location name,Amount spent (EGP)
Al Sharqia Governorate,1106
Alexandria Governorate,1126
Aswan Governorate,153
Asyut Governorate,354
Beheira Governorate,574
Beni Suef Governorate,217
Cairo Governorate,2033
Dakahlia Governorate,898
Damietta Governorate,355
Faiyum Governorate,230
Gharbia Governorate,874
Giza Governorate,722
Ismailia Governorate,171
Kafr el-Sheikh Governorate,337
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,334
Monufia Governorate,361
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,295
Qalyubia Governorate,513
Qena Governorate,215
Red Sea Governorate,114
Sohag Governorate,349
South Sinai Governorate,≤100
Suez Governorate,109
Unknown,≤100
