Location name,Amount spent (SEK)
Blekinge County,3152
Dalarna County,6171
Gotland County,1831
Gävleborg County,6152
Halland County,6550
Jämtland County,2824
Jönköping County,7407
Kalmar County,5300
Kronoberg County,3528
Norrbotten County,5028
Skåne County,26672
Stockholm County,56619
Södermanland County,6344
Unknown,≤100
Uppsala County,8516
Värmland County,5774
Västerbotten County,5392
Västernorrland County,4964
Västmanland County,5648
Västra Götaland County,37011
Örebro County,6620
Östergötland County,9728
