Location name,Amount spent (TRY)
Adana Province,1458
Adıyaman Province,199
Afyonkarahisar Province,632
Aksaray Province,200
Amasya Province,209
Ankara Province,3205
Antalya Province,1533
Ardahan Province,≤100
Artvin Province,103
Aydın Province,707
Ağrı Province,107
Balıkesir Province,722
Bartın Province,101
Batman Province,207
Bayburt Province,≤100
Bilecik Province,117
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,195
Burdur Province,122
Bursa Province,1802
Denizli Province,677
Diyarbakır Province,462
Düzce Province,821
Edirne Province,330
Elazığ Province,204
Erzincan Province,≤100
Erzurum Province,470
Eskişehir Province,589
Gaziantep Province,951
Giresun Province,268
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1011
Isparta Province,249
Istanbul Province,12949
Iğdır Province,≤100
Kahramanmaraş Province,529
Karabük Province,143
Karaman Province,172
Kars Province,≤100
Kastamonu Province,170
Kayseri Province,721
Kilis Province,≤100
Kocaeli Province,1285
Konya Province,1135
Kütahya Province,273
Kırklareli Province,197
Kırıkkale Province,105
Kırşehir Province,104
Malatya Province,287
Manisa Province,721
Mardin Province,277
Mersin Province,1335
Muğla Province,593
Muş Province,≤100
Nevşehir Province,138
Niğde Province,168
Ordu Province,430
Osmaniye Province,369
Rize Province,179
Sakarya Province,468
Samsun Province,847
Siirt Province,≤100
Sinop Province,115
Sivas Province,227
Tekirdağ Province,545
Tokat Province,506
Trabzon Province,625
Tunceli Province,≤100
Unknown,≤100
Uşak Province,218
Van Province,252
Yalova Province,123
Yozgat Province,201
Zonguldak Province,314
Çanakkale Province,343
Çankırı Province,≤100
Çorum Province,261
İzmir Province,3721
Şanlıurfa Province,684
Şırnak Province,147
