Location name,Amount spent (JPY)
Aichi Prefecture,23002
Akita Prefecture,1485
Aomori Prefecture,2489
Chiba Prefecture,19011
Ehime Prefecture,2806
Fukui Prefecture,2576
Fukuoka Prefecture,35768
Fukushima Prefecture,3777
Gifu Prefecture,4531
Gunma Prefecture,4151
Hiroshima Prefecture,14092
Hokkaido,15346
Hyōgo Prefecture,16442
Ibaraki Prefecture,5754
Ishikawa Prefecture,3177
Iwate Prefecture,1872
Kagawa Prefecture,2611
Kagoshima Prefecture,3858
Kanagawa Prefecture,40285
Kumamoto Prefecture,5082
Kyoto Prefecture,10193
Kōchi Prefecture,1391
Mie Prefecture,6717
Miyagi Prefecture,9096
Miyazaki Prefecture,2974
Nagano Prefecture,4837
Nagasaki Prefecture,3775
Nara Prefecture,4310
Niigata Prefecture,4317
Okayama Prefecture,4790
Okinawa Prefecture,4279
Osaka Prefecture,35139
Saga Prefecture,2233
Saitama Prefecture,18728
Shiga Prefecture,3605
Shimane Prefecture,1345
Shizuoka Prefecture,9196
Tochigi Prefecture,4407
Tokushima Prefecture,1299
Tokyo,60006
Tottori Prefecture,1608
Toyama Prefecture,2370
Unknown,≤100
Wakayama Prefecture,1990
Yamagata Prefecture,1972
Yamaguchi Prefecture,3862
Yamanashi Prefecture,4170
Ōita Prefecture,3467
