Location name,Amount spent (KES)
Central Province,285
Coast Province,1280
Eastern Province,1624
Nairobi,1177
North Eastern Province,≤100
Nyanza Province,173
Rift Valley Province,582
Unknown,≤100
Western Province,≤100
