Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
2339859699626643,Hacemos Unidos por Córdoba,Hacemos Unidos por Córdoba,4611093,62
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1782837,100
101481752980291,Derecho al Futuro,Derecho al Futuro,534025,43
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,423971,62
105713179194959,Martín Llaryora 2023,Hacemos Unidos por Córdoba,334140,32
101089933000633,Es con Rossi,Es con Rossi,273155,36
120527421023470,Despierta Chubut,Despierta Chubut,203505,18
104377591978898,Compacto Córdoba,Compacto Córdoba,200166,3
106851377838588,Justicia Córdoba,Justicia Córdoba,193740,9
132275286851048,Luis Alfredo Juez,Juntos por el Cambio,189443,122
110079031997390,Con Larreta,Con Larreta,176420,170
110568602036048,Córdoba La Número 1,Córdoba La Número 1,174028,32
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,145219,8
119701434467367,La Fuerza de Rosario,La Fuerza de Rosario,142139,18
138406616275954,Marcelo Orrego,Producción y Trabajo,136861,5
537902999681634,Pablo Grasso,Construyamos Juntos,133407,5
103107652819753,Elijo Hacer,Elijo Hacer Santa Fe,123487,4
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,117813,79
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,114817,4
103086469455193,Gustavo puede,Gustavo Puede,109276,23
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,108373,19
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,106107,11
100151736415392,Cordobalanumerouno,Cordoba la número uno,104775,34
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,98629,19
181701801980107,Daniel Passerini,Daniel Passerini,92564,5
385958661832297,CPC Villa El Libertador Municba,municipalidad de córdoba,86179,8
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,84860,6
1470809306572155,Armando Luis Gay,Armando Luis Gay,84289,43
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,79281,2
105735495551632,Nico Marchiolo,Nico Marchiolo,78553,7
148539931942743,Rodrigo de Loredo,Juntos por el Cambio,71685,35
465558466800210,Maxi Pullaro,Juntos por el Cambio Evolución,70410,36
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,68842,2
253898394637965,Luciana Echevarría,MST Movimiento Socialista de los Trabajadores,67366,18
110890318187982,Escucharte Santa Fe,Escucharte Santa Fe,66800,66
103088924366000,Noticias d,Noticias d,64357,261
120110414388057,Santa Fe Puede,Santa Fe Puede,63950,1
106611964758390,Santiago Pérez Pons,Frente Chaqueño,62794,17
1662250880709156,Lanús Municipio,Lanús Municipio,62153,5
102201116202672,Federico Lifschitz,Federico Lifschitz,62005,29
112161968547691,Realidad Federal,REALIDAD FEDERAL,59685,9
104754869652010,Antonio Bonfatti,Antonio Bonfatti,52915,18
137982309546526,Aida Ayala,Aida Ayala,47695,7
360320400750322,Nacho Martinez Kerz,Ignacio Martinez Kerz,46629,3
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,46480,37
391359140978849,Carolina Losada,Carolina Losada,44930,11
113902874399198,La Provincia Hoy,La Provincia Hoy,44349,10
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,43793,34
564830380326427,Juan Carlos Polini,Polini,43401,40
1438488546445746,CPC Argüello MuniCba,municipalidad de córdoba,42807,6
1025286324218044,CPC Mons Pablo Cabrera MuniCba,municipalidad de córdoba,42631,7
525334380868858,Martín Lousteau,Fundación Lebensohn,42098,17
442074085928723,Raúl Jalil,Raúl Jalil,40083,20
147255748694051,Fernando Espinoza,Municipio de La Matanza,39196,29
102007812840437,Jóvenes con Wado,Jóvenes con Wado,35780,9
1383679141758544,Total República,Total República,35778,19
1541663639410402,Peta Bernarte,Peta Bernarte,34956,30
314550791947743,InfoBonaerenses,Noticias de mi barrio,34338,5
499141756879767,Federico Achával,Federico Achával,33550,1
1653293061570409,Federico Alesandri,Federico Alesandri,33537,9
149721655226597,Oscar Cachi Martinez,Oscar Martínez,33230,1
572672609527991,Ramiro Fernández Patri,Ramiro Fernández Patri,32208,40
171330806277312,Diego Santilli,Instituto República,31455,36
103133226132132,Info Regional,www.inforegional.online,31157,18
816767721680783,Rubén Uñac,Frente San Juan por Todos,29488,4
143715592310560,Infocampo,Infocampo,29160,19
108680032230430,Jorge Andrés Fernández,Elijo Hacer Santa Fe,29103,2
106238024913688,Agustina Serrano Gómez,Agustina Serrano Gómez,28328,12
113138195384719,Nestor Grindetti,Nestor Grindetti,27954,12
1463841873915186,Natalio Graglia,Hacemos Unidos por Córdoba - General San Martín,27538,4
409843162468188,Inés Brizuela y Doria,Inés Brizuela y Doria,26873,6
1567551246808899,Laura Vilches,Frente de Izquierda,25745,7
112595328432641,Wado 2023,Jóvenes con Wado,25523,7
111600998225620,Noticias Zero,Noticias Zero,25312,12
234890990763613,Federico Fulini,Federico Fulini,25311,6
114364621598017,Vamos San Juan,Frente San Juan por Todos,25164,3
102810666178100,Coco Bascolo,Reconquista PUEDE,25000,2
1576976629211448,Paco Garibaldi,Paco Garibaldi,24945,2
72669217467,Vilma Ripoll,MST Movimiento Socialista de los Trabajadores,24853,1
233734300112003,Juan Monteverde,Ciudad Futura,24609,21
112090455034177,El Portavoz Oficial,El Portavoz,23846,9
102187456039094,Enterate Ya,Enterate Ya!,23658,8
605540860101596,Diario Criollo,Diario Criollo,23483,16
259111760849274,Federico Angelini,Juntos por el Cambio,23196,8
115691911470581,Partido Demócrata de Córdoba Departamento Pte R. S. Peña,Partido Demócrata de Córdoba,23188,5
1523276221296810,Polo Obrero,Polo Obrero,22850,9
468067389880768,Fernando Salvi,Fernando salvi,22581,14
110806461830762,El Sol Web,El Sol Web,22550,14
544986472243896,Data Diario,Data Diario,22083,17
1688491141369349,Gobierno de la Provincia de La Pampa,Gobierno de la Pampa,21666,10
2251397431784810,InfoArgentina,Comunicarg,21593,5
