Location name,Amount spent (HUF)
Baranya County,140103
Borsod-Abaúj-Zemplén County,202640
Budapest,780512
Bács-Kiskun County,161735
Békés County,121379
Csongrád County,145655
Fejér County,142842
Győr-Moson-Sopron County,161828
Hajdú-Bihar County,172579
Heves County,148334
Jász-Nagykun-Szolnok County,111914
Komárom-Esztergom County,97988
Nógrád County,58622
Pest County,376934
Somogy County,91217
Szabolcs-Szatmár-Bereg County,154155
Tolna County,80725
Unknown,≤100
Vas County,88947
Veszprém County,109560
Zala County,92544
