Location name,Amount spent (HUF)
Baranya County,149281
Borsod-Abaúj-Zemplén County,231989
Budapest,844436
Bács-Kiskun County,180864
Békés County,138395
Csongrád County,165288
Fejér County,175503
Győr-Moson-Sopron County,182838
Hajdú-Bihar County,187963
Heves County,114901
Jász-Nagykun-Szolnok County,130545
Komárom-Esztergom County,115930
Nógrád County,66098
Pest County,418137
Somogy County,102932
Szabolcs-Szatmár-Bereg County,170732
Tolna County,88895
Unknown,≤100
Vas County,107041
Veszprém County,123671
Zala County,97896
