Location name,Amount spent (PYG)
Alto Paraguay Department,212506
Alto Paraná Department,5924466
Amambay Department,601258
Asunción,4905769
Boquerón department,219798
Caaguazú Department,2065450
Caazapá Department,328664
Canindeyú Department,587781
Central Department,13074790
Concepción Department (Paraguay),668960
Cordillera Department,1221892
Guairá Department,638835
Itapúa Department,2734948
Misiones Department,910808
Paraguarí Department,526347
Presidente Hayes Department,422963
San Pedro Department,633395
Unknown,887
Ñeembucú Department,542155
