Location name,Amount spent (PLN)
Greater Poland Voivodeship,3703
Kuyavian-Pomeranian Voivodeship,2132
Lesser Poland Voivodeship,3453
Lower Silesian Voivodeship,2962
Lublin Voivodeship,1629
Lubusz Voivodeship,919
Masovian Voivodeship,6321
Opole Voivodeship,810
Podkarpackie Voivodeship,1725
Podlaskie Voivodeship,892
Pomeranian Voivodeship,2950
Silesian Voivodeship,3908
Unknown,≤100
Warmian-Masurian Voivodeship,1229
West Pomeranian Voivodeship,1950
Łódź Voivodeship,2639
Świętokrzyskie Voivodeship,929
