Location name,Amount spent (IDR)
Aceh,695990
Bali,1235405
Bangka–Belitung Islands,103667
Banten,982751
Bengkulu,314622
Central Java,2917148
Central Kalimantan,391058
Central Sulawesi,670550
East Java,3650861
East Kalimantan,975908
East Nusa Tenggara,967328
Gorontalo,435381
Jakarta,1679772
Jambi,761191
Lampung,1168508
Maluku,278826
North Kalimantan,96463
North Maluku,199838
North Sulawesi,928729
North Sumatra,2534743
Papua (province),390839
Riau,1272087
Riau Islands Province,404825
South Kalimantan,501876
South Sulawesi,4878837
South Sumatra,1373744
Southeast Sulawesi,376604
Special Region of Yogyakarta,565191
Unknown,844
West Java,4858057
West Kalimantan,845676
West Nusa Tenggara,846576
West Papua,196747
West Sulawesi,159768
West Sumatra,541061
