Location name,Amount spent (CLP)
Antofagasta Region,52169
Araucanía Region,102657
Arica y Parinacota Region,24637
Atacama Region,14041
Aysén Region,9062
Bío Bío Region,188858
Coquimbo Region,81179
Los Lagos Region,52154
Los Ríos Region,27284
Magallanes y la Antártica Chilena Region,12538
Maule Region,72486
O'Higgins Region,96332
Santiago Metropolitan Region,664396
Tarapacá Region,30331
Unknown,158
Valparaíso Region,148066
