Location name,Amount spent (LBP)
Beirut Governorate,2659185
Beqaa Governorate,946716
Mount Lebanon Governorate,1560895
Nabatieh Governorate,447761
North Governorate,1499552
South Governorate,651194
Unknown,≤100
