Location name,Amount spent (AED)
Abu Dhabi,186
Dubai,772
Emirate of Ajman,159
Emirate of Sharjah,430
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
