Location name,Amount spent (VEF)
Amazonas,35621
Anzoátegui,513952
Apure,1811473
Aragua,3684224
Barinas,1506046
Bolívar (state),10512453
Capital District,9772116
Carabobo,5227856
Cojedes,252687
Delta Amacuro,≤100
Falcón,378396
Guárico,302172
Lara,3209468
Miranda (state),2957917
Monagas,162391
Mérida,496161
Nueva Esparta,254444
Portuguesa,526301
Sucre,337330
Trujillo,259404
Táchira,2416228
Vargas,1089531
Yaracuy,508268
Zulia,9274028
