Location name,Amount spent (EGP)
Al Sharqia Governorate,1440
Alexandria Governorate,1638
Aswan Governorate,182
Asyut Governorate,484
Beheira Governorate,808
Beni Suef Governorate,307
Cairo Governorate,3861
Dakahlia Governorate,1528
Damietta Governorate,410
Faiyum Governorate,262
Gharbia Governorate,1027
Giza Governorate,1480
Ismailia Governorate,285
Kafr el-Sheikh Governorate,720
Luxor Governorate,135
Matrouh Governorate,≤100
Minya Governorate,668
Monufia Governorate,745
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,283
Qalyubia Governorate,1325
Qena Governorate,304
Red Sea Governorate,130
Sohag Governorate,469
South Sinai Governorate,≤100
Suez Governorate,136
Unknown,≤100
