Location name,Amount spent (MXN)
Aguascalientes,3429
Baja California,18903
Baja California Sur,3492
Campeche,27564
Chiapas,12672
Chihuahua,22834
Coahuila de Zaragoza,22049
Colima,12452
Distrito Federal,179856
Durango,3766
Guanajuato,29411
Guerrero,6999
Hidalgo,9243
Jalisco,66758
Michoacán de Ocampo,28315
Morelos,6762
Nayarit,6576
Nuevo León,61809
Oaxaca,7710
Puebla,17109
Querétaro Arteaga,14487
Quintana Roo,8228
San Luis Potosi,10171
Sinaloa,7940
Sonora,11543
State of Mexico,71184
Tabasco,7003
Tamaulipas,12386
Tlaxcala,3161
Unknown,≤100
Veracruz,20974
Yucatán,15111
Zacatecas,3877
