Location name,Amount spent (RON)
Alba County,652
Arad County,944
Argeș County,992
Bacău County,1185
Bihor County,898
Bistrița-Năsăud County,443
Botoșani County,615
Brașov County,1406
Brăila County,453
Bucharest,3897
Buzău County,603
Caraș-Severin County,489
Cluj County,1415
Constanța County,1272
Covasna County,348
Călărași County,382
Dolj County,1026
Dâmbovița County,621
Galați County,757
Giurgiu County,274
Gorj County,505
Harghita County,535
Hunedoara County,834
Ialomița County,262
Iași County,3124
Ilfov County,523
Maramureș County,831
Mehedinți County,355
Mureș County,973
Neamț County,932
Olt County,445
Prahova County,1339
Satu Mare County,487
Sibiu County,786
Suceava County,913
Sălaj County,302
Teleorman County,395
Timiș County,1705
Tulcea County,265
Unknown,≤100
Vaslui County,549
Vrancea County,481
Vâlcea County,540
