Location name,Amount spent (HUF)
Baranya County,189306
Borsod-Abaúj-Zemplén County,239517
Budapest,1424848
Bács-Kiskun County,222523
Békés County,146771
Csongrád County,206234
Fejér County,218928
Győr-Moson-Sopron County,209477
Hajdú-Bihar County,249391
Heves County,125366
Jász-Nagykun-Szolnok County,155932
Komárom-Esztergom County,145285
Nógrád County,69645
Pest County,563698
Somogy County,130237
Szabolcs-Szatmár-Bereg County,200238
Tolna County,99800
Unknown,148
Vas County,123286
Veszprém County,142719
Zala County,119455
