Location name,Amount spent (NOK)
Akershus,6099
Aust-Agder,975
Buskerud,2454
Finnmark,957
Hedmark,1451
Hordaland,5656
Møre og Romsdal,5640
Nord-Trøndelag,1133
Nordland,1987
Oppland,1577
Oslo,11364
Rogaland,4896
Sogn og Fjordane,1096
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,4466
Telemark,1553
Troms,2187
Unknown,≤100
Vest-Agder,2015
Vestfold,2473
Østfold,2416
