Location name,Amount spent (USD)
Alabama,8434
Alaska,4902
American Samoa,≤100
Arizona,16822
Arkansas,4754
California,95399
Colorado,28570
Connecticut,9879
Delaware,2212
Florida,65027
Georgia,23138
Guam,≤100
Hawaii,3295
Idaho,5645
Illinois,48965
Indiana,17391
Iowa,7308
Kansas,6340
Kentucky,10218
Louisiana,11499
Maine,6194
Maryland,18112
Massachusetts,14548
Michigan,33902
Minnesota,17386
Mississippi,5388
Missouri,18863
Montana,3664
Nebraska,5243
Nevada,9325
New Hampshire,3016
New Jersey,22779
New Mexico,4194
New York,102697
North Carolina,21270
North Dakota,2746
Northern Mariana Islands,≤100
Ohio,32981
Oklahoma,9425
Oregon,10219
Pennsylvania,37505
Puerto Rico,≤100
Rhode Island,2101
South Carolina,11179
South Dakota,1509
Tennessee,16565
Texas,90169
Unknown,≤100
Utah,5004
Vermont,1608
Virgin Islands (U.S.),≤100
Virginia,23880
Washington,16036
"Washington, District of Columbia",11963
West Virginia,4104
Wisconsin,115427
Wyoming,1302
