Location name,Amount spent (AUD)
Australian Capital Territory,969
Jervis Bay Territory,≤100
New South Wales,14477
Northern Territory,502
Queensland,14514
South Australia,4374
Tasmania,1960
Unknown,≤100
Victoria,13755
Western Australia,7749
