Location name,Amount spent (CZK)
Central Bohemian Region,22050
Hradec Králové Region,8939
Karlovy Vary Region,6149
Liberec Region,8072
Moravian-Silesian Region,19189
Olomouc Region,10207
Pardubice Region,8590
Plzeň Region,10951
Prague,39546
South Bohemian Region,10773
South Moravian Region,24011
Unknown,≤100
Vysočina Region,7810
Zlín Region,9226
Ústí nad Labem Region,15356
