Location name,Amount spent (LBP)
Beirut Governorate,2371456
Beqaa Governorate,648617
Mount Lebanon Governorate,1278110
Nabatieh Governorate,344111
North Governorate,1042209
South Governorate,571899
Unknown,≤100
