Location name,Amount spent (CZK)
Central Bohemian Region,12346
Hradec Králové Region,5200
Karlovy Vary Region,4832
Liberec Region,4108
Moravian-Silesian Region,11132
Olomouc Region,6123
Pardubice Region,4420
Plzeň Region,6144
Prague,26240
South Bohemian Region,6202
South Moravian Region,13305
Unknown,218
Vysočina Region,4303
Zlín Region,5071
Ústí nad Labem Region,8192
