Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
609245665885381,The University of the South Pacific Students' Association,The University of the South Pacific Students Association,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
171522852874952,Juventus,These ads ran without a disclaimer,≤100,1
109267108573919,stevescarnie,These ads ran without a disclaimer,≤100,1
101100812657831,Invest and Trade Africa,These ads ran without a disclaimer,≤100,1
100966486285059,C301-18,These ads ran without a disclaimer,≤100,2
375605576400149,The Inphamus Hour,These ads ran without a disclaimer,≤100,1
114927444840026,C301-19,These ads ran without a disclaimer,≤100,1
114950684872253,C301-27,These ads ran without a disclaimer,≤100,2
106649554035261,Caio_Vitor07,These ads ran without a disclaimer,≤100,2
