Location name,Amount spent (IDR)
Aceh,1388587
Bali,1611587
Bangka–Belitung Islands,376876
Banten,2322249
Bengkulu,697053
Central Java,8366879
Central Kalimantan,738965
Central Sulawesi,1573832
East Java,8301762
East Kalimantan,1714420
East Nusa Tenggara,2047331
Gorontalo,714411
Jakarta,5867447
Jambi,1033268
Lampung,1687056
Maluku,380029
North Kalimantan,248936
North Maluku,292741
North Sulawesi,2081952
North Sumatra,4551629
Papua (province),601016
Riau,2470415
Riau Islands Province,754518
South Kalimantan,944475
South Sulawesi,2920666
South Sumatra,2440562
Southeast Sulawesi,1369228
Special Region of Yogyakarta,1175744
Unknown,7191
West Java,12389015
West Kalimantan,2111829
West Nusa Tenggara,1712242
West Papua,293125
West Sulawesi,413351
West Sumatra,2074164
