Location name,Amount spent (EGP)
Al Sharqia Governorate,2559
Alexandria Governorate,2434
Aswan Governorate,479
Asyut Governorate,1146
Beheira Governorate,1517
Beni Suef Governorate,607
Cairo Governorate,5194
Dakahlia Governorate,2601
Damietta Governorate,920
Faiyum Governorate,652
Gharbia Governorate,1804
Giza Governorate,1753
Ismailia Governorate,675
Kafr el-Sheikh Governorate,1261
Luxor Governorate,317
Matrouh Governorate,131
Minya Governorate,1123
Monufia Governorate,1334
New Valley Governorate,109
North Sinai Governorate,242
Port Said Governorate,525
Qalyubia Governorate,1119
Qena Governorate,696
Red Sea Governorate,236
Sohag Governorate,1184
South Sinai Governorate,≤100
Suez Governorate,362
Unknown,≤100
