Location name,Amount spent (PEN)
Amazonas Region,101
Ancash Region,467
Apurímac Region,184
Arequipa Region,688
Ayacucho Region,251
Cajamarca Region,409
Callao,221
Cusco Region,516
Huancavelica Region,≤100
Huánuco Region,238
Ica Region,433
Junín Region,426
La Libertad Region,798
Lambayeque Region,496
Lima Region,3747
Loreto Region,246
Madre de Dios Region,105
Moquegua Region,115
Pasco Region,111
Piura Region,706
Puno Region,568
San Martín Region,344
Tacna Region,184
Tumbes Region,103
Ucayali Region,202
Unknown,≤100
