Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,3047,60
126289610761942,Grünliberale,Grünliberale,1851,52
169510248558,Die Mitte - Le Centre,Die Mitte,1388,18
106321615725425,Oui à la Loi climat,Oui à la loi climat,1092,45
97220294896,SP Schweiz,SP Schweiz,754,28
108893095528257,In185-Non,IN 185,627,7
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,543,3
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,532,26
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,518,15
291359247729208,PS Suisse,PS Suisse,419,12
105023728023626,Forum Wirtschaftsstandort Schweiz,Swissholdings,404,8
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,381,41
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,293,6
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,255,7
122487807413337,Mehr günstige Wohnungen in Zürich,Mehr günstige Wohnungen in Zürich,251,4
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,248,138
131066326987,SP Kanton Zürich,SP Kanton Zürich,235,8
147201418675114,Swissmem,Swissmem,227,23
114275974912005,GE équilibre fiscal,GE équilibre fiscal,210,10
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,193,5
1320679421302500,HabitatDurable,Casafair - HabitatDurable,193,15
1220118614712552,Non à la loi sur le gaspillage de l'électricité,Non à la loi sur le gaspillage de l'électricité,192,4
1012263022170223,HotellerieSuisse,HotellerieSuisse,190,13
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,186,7
104434902404462,SI all' imposta minima dell'OCSE,Alleanza per la riforma dell’imposta preventiva,178,5
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,168,9
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,167,12
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,163,10
194790813901953,Grüne Schweiz,Grüne Schweiz,155,4
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,147,6
119186944514904,Unabhängige Schweiz - Unabhängige Energieversorgung,Klima Allianz,142,4
1579272705641700,Gabriela Suter,Gabriela Suter,141,3
84150672409,SP Stadt Zürich,SP Stadt Zürich,121,8
309380022477251,Casafair,Casafair,118,12
106252468372887,Isabelle Chassot,Isabelle Chassot,116,5
251838211585945,SP Basel-Stadt,SP Basel-Stadt,112,13
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,≤100,3
260591187302640,Parti socialiste genevois,Parti socialiste genevois,≤100,5
48980326364,Public Eye,Public Eye,≤100,11
103915262545181,KMU geprüft,KMU geprüft,≤100,1
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,≤100,4
1131283210260777,Future 3,Fondation Future 3.0,≤100,4
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100,14
