Location name,Amount spent (PKR)
Azad Kashmir,864
Balochistan,931
Federally Administered Tribal Areas,160
Gilgit-Baltistan,286
Islamabad Capital Territory,1364
Khyber Pakhtunkhwa,5160
Punjab,39625
Sindh,10587
Unknown,≤100
