Location name,Amount spent (INR)
Andaman and Nicobar Islands,263
Andhra Pradesh,43606
Arunachal Pradesh,2177
Assam,25680
Bihar,68361
Chandigarh,2864
Chhattisgarh,135591
Dadra and Nagar Haveli,1755
Delhi,62083
Goa,3969
Gujarat,63886
Haryana,45343
Himachal Pradesh,13845
Jammu and Kashmir,11279
Jharkhand,23185
Karnataka,52764
Kerala,11228
Lakshadweep,≤100
Madhya Pradesh,349341
Maharashtra,185286
Manipur,425
Meghalaya,1599
Mizoram,3427
Nagaland,1234
Odisha,20769
Puducherry,1669
Punjab region,31434
Rajasthan,402405
Sikkim,1510
Tamil Nadu,27575
Telangana,131180
Tripura,2856
Unknown,121
Uttar Pradesh,160937
Uttarakhand,26862
West Bengal,54017
