Location name,Amount spent (PLN)
Greater Poland Voivodeship,4453
Kuyavian-Pomeranian Voivodeship,3083
Lesser Poland Voivodeship,4380
Lower Silesian Voivodeship,3832
Lublin Voivodeship,1871
Lubusz Voivodeship,991
Masovian Voivodeship,9462
Opole Voivodeship,848
Podkarpackie Voivodeship,1667
Podlaskie Voivodeship,1001
Pomeranian Voivodeship,3148
Silesian Voivodeship,4349
Unknown,≤100
Warmian-Masurian Voivodeship,1355
West Pomeranian Voivodeship,1878
Łódź Voivodeship,2825
Świętokrzyskie Voivodeship,1013
