Location name,Amount spent (AUD)
Australian Capital Territory,1491
Jervis Bay Territory,≤100
New South Wales,20802
Northern Territory,599
Queensland,13933
South Australia,4753
Tasmania,1435
Unknown,≤100
Victoria,15343
Western Australia,6752
