Location name,Amount spent (PYG)
Alto Paraguay Department,52761
Alto Paraná Department,3227283
Amambay Department,297797
Asunción,2378961
Boquerón department,104977
Caaguazú Department,1076032
Caazapá Department,199393
Canindeyú Department,233875
Central Department,8909856
Concepción Department (Paraguay),278693
Cordillera Department,866123
Guairá Department,385195
Itapúa Department,990643
Misiones Department,614398
Paraguarí Department,285558
Presidente Hayes Department,328197
San Pedro Department,378140
Unknown,706
Ñeembucú Department,141461
