Location name,Amount spent (GTQ)
Alta Verapaz Department,724
Baja Verapaz Department,243
Chimaltenango Department,259
Chiquimula Department,135
El Progreso Department,128
Escuintla Department,164
Guatemala Department,2507
Huehuetenango Department,672
Izabal Department,280
Jalapa Department,135
Jutiapa Department,248
Petén Department,276
Quetzaltenango Department,1511
Quiché Department,474
Retalhuleu Department,240
Sacatepéquez Department,420
San Marcos Department,1657
Santa Rosa Department,212
Sololá Department,383
Suchitepéquez Department,310
Totonicapán Department,351
Unknown,≤100
Zacapa Department,122
