Location name,Amount spent (INR)
Andaman and Nicobar Islands,1318
Andhra Pradesh,53106
Arunachal Pradesh,881
Assam,12830
Bihar,46540
Chandigarh,2624
Chhattisgarh,21243
Dadra and Nagar Haveli,599
Delhi,59787
Goa,8147
Gujarat,70784
Haryana,50642
Himachal Pradesh,11162
Jammu and Kashmir,12278
Jharkhand,12945
Karnataka,395809
Kerala,17108
Lakshadweep,≤100
Madhya Pradesh,64698
Maharashtra,235654
Manipur,1402
Meghalaya,1164
Mizoram,612
Nagaland,1409
Odisha,11591
Puducherry,960
Punjab region,30997
Rajasthan,136557
Sikkim,493
Tamil Nadu,47751
Telangana,69859
Tripura,1910
Unknown,≤100
Uttar Pradesh,98781
Uttarakhand,9383
West Bengal,71495
