Location name,Amount spent (MYR)
Johor,1602
Kedah,5519
Kelantan,2225
Kuala Lumpur,2759
Labuan,≤100
Malacca,659
Negeri Sembilan,3694
Pahang,473
Penang,4234
Perak,1279
Perlis,135
Putrajaya,200
Sabah,513
Sarawak,529
Selangor,20078
Terengganu,1572
Unknown,≤100
