Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,323
Apurímac Region,112
Arequipa Region,473
Ayacucho Region,173
Cajamarca Region,300
Callao,250
Cusco Region,577
Huancavelica Region,≤100
Huánuco Region,175
Ica Region,308
Junín Region,351
La Libertad Region,569
Lambayeque Region,464
Lima Region,4242
Loreto Region,196
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,571
Puno Region,335
San Martín Region,226
Tacna Region,129
Tumbes Region,≤100
Ucayali Region,163
Unknown,≤100
