Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,570708,13
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,451915,14
919479674872321,Báo Nghệ An,Báo Nghệ An,181773,1
10423517786,Harvard Business Review,These ads ran without a disclaimer,93171,1
106476091689860,Bartra Wealth Advisors,Bartra Wealth Advisors,48998,4
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,48834,1
100672302819377,Bùi Thị Duyên,These ads ran without a disclaimer,46793,1
101865258169428,ĐEN Secondhand,ĐEN Secondhand,45864,2
100190251454228,Bình Bán Book,These ads ran without a disclaimer,23920,1
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,22602,1
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,22428,1
125279958350,GIVE.asia,These ads ran without a disclaimer,17837,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,11876,2
1725573604346784,Kornova Immigration Consultants - Tư vấn định cư Mỹ,These ads ran without a disclaimer,4274,2
103219671788421,Tùng la hán nghệ thuật,These ads ran without a disclaimer,1809,2
111508197374332,ADB Southeast Asia Development Solutions - SEADS,These ads ran without a disclaimer,1407,1
392416740827873,IPTC,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
106614631788380,Kitco Mining,These ads ran without a disclaimer,≤100,2
106282688304118,Discover Daxing,These ads ran without a disclaimer,≤100,1
128985777176957,Church Life Journal,These ads ran without a disclaimer,≤100,1
156788224389897,University of Toronto Scarborough (UTSC),These ads ran without a disclaimer,≤100,1
