Location name,Amount spent (MYR)
Johor,312
Kedah,166
Kelantan,143
Kuala Lumpur,447
Labuan,≤100
Malacca,≤100
Negeri Sembilan,127
Pahang,118
Penang,145
Perak,224
Perlis,≤100
Putrajaya,≤100
Sabah,223
Sarawak,183
Selangor,767
Terengganu,110
Unknown,≤100
