Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
184257548280251,Alberta's NDP,Alberta's NDP,4746,21
149042028439970,Alberta Federation of Labour,Alberta Federation of Labour,4398,18
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,2874,21
127240117332122,Volvo Car Canada,Volvo Car Canada,2751,2
169928686425623,UFCW Local 401,UFCW Local 401,2557,27
405377872902754,Canada Action,Canada Action,2447,99
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,2202,206
186266941387011,BMO Financial Group,BMO Financial Group,1792,4
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,1743,43
102828041144081,Here For Students,Here For Students,1583,15
270323369737229,Elections Alberta,Elections Alberta,1245,18
269577048182,Stollery Children's Hospital Foundation,Stollery Children's Hospital Foundation,1122,102
115835521825983,UNHCR Canada,UNHCR Canada,1101,16
439345863190331,Brad Bradford,Brad Bradford Campaign,1081,37
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,1071,13
117109432079,CAMH Foundation,CAMH Foundation,1050,46
154462904588700,Enbridge Gas,Enbridge Gas,1049,97
108635379686,CNIB,CNIB,1045,22
104386908631938,Pathways Alliance,Pathways Alliance,1016,8
154450024654,BC Teachers' Federation (BCTF),BC Teachers' Federation,898,23
901776976544599,RBC Wealth Management,RBC Wealth Management,894,4
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),888,2
27234020592,UNICEF Canada,UNICEF Canada,862,13
373857869367252,Moose Hide Campaign,Moose Hide Campaign,834,10
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,767,37
376006035816016,Storyworth,These ads ran without a disclaimer,766,11
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,755,4
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,665,53
23543314803,CUPE SCFP,CUPE SCFP,647,8
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,641,12
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,636,56
283487578481273,Énergir,Énergir,591,10
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,587,12
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,581,19
2130035313905321,Miranda Rosin,Miranda Rosin,569,24
261752512263,Canadian Red Cross,Canadian Red Cross,568,4
104661675895506,Mayday Movement,MayDay Movement,564,1
281999881613,World Vision Canada,World Vision Canada,557,4
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,500,52
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,446,180
689157954518219,Danielle Smith,United Conservative Party,442,1
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,434,8
113707256426,Rachel Notley,Alberta's NDP,428,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,403,2
106172275200668,GetBuilding,GetBuilding,391,4
1097840090260804,National Police Federation,National Police Federation,388,123
202220023130891,Bell Canada,Bell Canada,387,2
633812813408377,Elections Canada,Elections Canada,374,18
107385241806,Plan International Canada,Plan International Canada,356,39
106917558391358,Alliance Nouvelles voies,Pathways Alliance,355,4
433042703535858,Prasad Panda,Prasad Panda,352,6
397610640623766,Saskatchewan Teachers' Federation,Saskatchewan Teachers' Federation,344,12
160136850711053,CUPE Ontario,CUPE Ontario,344,12
167559993283868,Nature Québec,Nature Québec,332,6
19750184960,Greenpeace Canada,Greenpeace Canada,326,199
152467601467262,BMO Groupe financier,BMO Financial Group,325,4
590117937780756,Oil Sands Action,Canada Action,322,5
203485052997041,Hospital Employees' Union,Hospital Employees' Union,321,7
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,319,16
2160774464156561,Rebecca Schulz,Rebecca Schulz,315,1
114849617772737,Care2 Canada,Press Pause Collective,315,9
35715544220,Stand.earth,Stand.earth,308,21
658318450979357,Globe Content Studio,Globe Content Studio,302,2
586362242026180,Radio-Canada OHdio,Radio-Canada,300,13
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,297,113
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",293,2
186563811522,Centrale des syndicats du Québec (CSQ),Centrale des syndicats du Québec (CSQ),281,13
63358436494,Naître et grandir,Naître et grandir,267,41
1583430205202800,City of Toronto,City of Toronto - Your Local Government,260,3
2112106495731697,Wild First,Canadian Coastal Research Society,250,1
177741812241442,SCFP-Québec,le SCFP,245,1
223166863810,TOUGO,TOUGO,242,2
181701075182303,Crohn's and Colitis Canada,Crohn's and Colitis Canada,234,12
177681485609462,Radio-Canada,Radio-Canada,232,15
625254780822339,CUPE Manitoba,CUPE MB,227,4
947240598657969,Keeping Liquor Public,Manitoba Government and General Employees' Union (MGEU),212,10
48799305725,AIDS Vancouver,AIDS Vancouver,203,7
116190118504646,Wisdom2Action,Faelynn Eris Johnstone,202,16
43448349479,Josh Matlow,Josh Matlow Campaign,202,3
213671857639,BCGEU,BC General Employees' Union,200,1
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF) Canada,198,8
129706287121817,Shannon Phillips,Shannon Phillips,197,3
602190229793328,UFCW 1518,UFCW 1518,196,4
103230389418930,Buffalo Project,Buffalo Project,192,13
278389879414203,Rajan Sawhney,Rajan Sawhney,192,1
106360778489053,Fuelling Canada,Canadian Gas Association,191,73
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),These ads ran without a disclaimer,182,13
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,175,130
123235041462,The Fraser Institute,Fraser Institute,172,11
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,168,4
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,168,4
100999094747422,Land Needs Guardians,Land Needs Guardians,165,4
207054872801742,Demetrios Nicolaides,Demetrios Nicolaides,163,2
263547640436466,PC Party of Manitoba,"the Financial Officer, PC Party of Manitoba",160,2
188385537886041,ICI Québec,Radio-Canada,159,20
195608229977,BC NDP,BC NDP,155,2
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",155,3
