Location name,Amount spent (PLN)
Greater Poland Voivodeship,4995
Kuyavian-Pomeranian Voivodeship,2712
Lesser Poland Voivodeship,4124
Lower Silesian Voivodeship,3756
Lublin Voivodeship,2183
Lubusz Voivodeship,1197
Masovian Voivodeship,10379
Opole Voivodeship,1095
Podkarpackie Voivodeship,2103
Podlaskie Voivodeship,1118
Pomeranian Voivodeship,3287
Silesian Voivodeship,4977
Unknown,≤100
Warmian-Masurian Voivodeship,1587
West Pomeranian Voivodeship,2133
Łódź Voivodeship,3924
Świętokrzyskie Voivodeship,1185
