Location name,Amount spent (INR)
Andaman and Nicobar Islands,196
Andhra Pradesh,27726
Arunachal Pradesh,1105
Assam,14733
Bihar,40233
Chandigarh,2289
Chhattisgarh,36063
Dadra and Nagar Haveli,1053
Delhi,56677
Goa,7935
Gujarat,58547
Haryana,35847
Himachal Pradesh,11925
Jammu and Kashmir,11650
Jharkhand,16731
Karnataka,4160953
Kerala,16876
Lakshadweep,≤100
Madhya Pradesh,74100
Maharashtra,172655
Manipur,474
Meghalaya,2990
Mizoram,541
Nagaland,3256
Odisha,20728
Puducherry,3401
Punjab region,123025
Rajasthan,122088
Sikkim,522
Tamil Nadu,116489
Telangana,41673
Tripura,2084
Unknown,124
Uttar Pradesh,250443
Uttarakhand,13335
West Bengal,41598
