Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,315
Cerro Largo Department,≤100
Colonia Department,1030
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,156
Montevideo Department,2019
Paysandú Department,2208
Rivera Department,171
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,561
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
