Location name,Amount spent (COP)
Amazonas,16915
Antioquia,5921107
Arauca,13573
Atlantico,367977
Bolivar,163743
Boyaca,152865
Caldas,303910
Caqueta,35777
Casanare,68239
Cauca,325272
Cesar,79586
Choco,26453
Cordoba,239397
Cundinamarca,653621
Distrito Especial,2437127
Guainia,692
Guaviare,3682
Huila,267633
La Guajira,50268
Magdalena,214718
Meta,912050
Narino,113421
Norte de Santander,246354
Putumayo,57917
Quindio,134907
Risaralda,485198
San Andres y Providencia,5753
Santander,402976
Sucre,104229
Tolima,261570
Unknown,237
Valle del Cauca,3478976
Vaupes,201
Vichada,580
