Location name,Amount spent (USD)
Azuay Province,858
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,151
Chimborazo Province,103
Cotopaxi Province,136
El Oro Province,991
Esmeraldas Province,240
Galápagos Province,≤100
Guayas Province,2476
Imbabura Province,246
Loja Province,163
Los Ríos Province,887
Manabí Province,983
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1481
Santa Elena Province,123
Santo Domingo de los Tsáchilas Province,880
Sucumbíos Province,134
Tungurahua Province,155
Unknown,≤100
Zamora-Chinchipe Province,≤100
