Location name,Amount spent (JPY)
Aichi Prefecture,53708
Akita Prefecture,8731
Aomori Prefecture,6651
Chiba Prefecture,40729
Ehime Prefecture,7238
Fukui Prefecture,4988
Fukuoka Prefecture,59815
Fukushima Prefecture,9479
Gifu Prefecture,17642
Gunma Prefecture,15061
Hiroshima Prefecture,19374
Hokkaido,40425
Hyōgo Prefecture,35872
Ibaraki Prefecture,16701
Ishikawa Prefecture,7853
Iwate Prefecture,6803
Kagawa Prefecture,7203
Kagoshima Prefecture,7855
Kanagawa Prefecture,89294
Kumamoto Prefecture,12772
Kyoto Prefecture,20367
Kōchi Prefecture,4105
Mie Prefecture,11592
Miyagi Prefecture,19853
Miyazaki Prefecture,5968
Nagano Prefecture,13808
Nagasaki Prefecture,9556
Nara Prefecture,9471
Niigata Prefecture,12111
Okayama Prefecture,20613
Okinawa Prefecture,14108
Osaka Prefecture,66422
Saga Prefecture,7172
Saitama Prefecture,56781
Shiga Prefecture,9886
Shimane Prefecture,5863
Shizuoka Prefecture,24158
Tochigi Prefecture,10554
Tokushima Prefecture,4881
Tokyo,124589
Tottori Prefecture,2930
Toyama Prefecture,6160
Unknown,≤100
Wakayama Prefecture,6354
Yamagata Prefecture,7014
Yamaguchi Prefecture,8088
Yamanashi Prefecture,5808
Ōita Prefecture,10673
