Location name,Amount spent (NZD)
Auckland Region,2574
Bay of Plenty Region,640
Canterbury,1239
Gisborne District,≤100
Hawke's Bay,257
Manawatu-Wanganui,402
Marlborough Region,≤100
Nelson Province,162
Northland Region,301
Otago,1000
Southland,136
Taranaki,157
Tasman District,≤100
Unknown,≤100
Waikato,1340
Wellington Region,1154
West Coast,≤100
