Location name,Amount spent (CZK)
Central Bohemian Region,8067
Hradec Králové Region,2897
Karlovy Vary Region,1778
Liberec Region,2702
Moravian-Silesian Region,7305
Olomouc Region,4199
Pardubice Region,3311
Plzeň Region,4152
Prague,19420
South Bohemian Region,5626
South Moravian Region,10118
Unknown,≤100
Vysočina Region,2596
Zlín Region,3547
Ústí nad Labem Region,5392
