Location name,Amount spent (CLP)
Antofagasta Region,68485
Araucanía Region,155560
Arica y Parinacota Region,32879
Atacama Region,29728
Aysén Region,20260
Bío Bío Region,276392
Coquimbo Region,141316
Los Lagos Region,100825
Los Ríos Region,53228
Magallanes y la Antártica Chilena Region,28102
Maule Region,110898
O'Higgins Region,89501
Santiago Metropolitan Region,1479862
Tarapacá Region,43807
Unknown,582
Valparaíso Region,305423
